short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,ticker_indice_yf,ponderation
Coca-Cola Europacific Partners ,CCEP,CCEP,Consumer Defensive,United Kingdom,NMS,46978646016.0,^NDX,0.12
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,84768980992.0,^NDX,0.21
Constellation Energy Corporatio,CEG,CEG,Utilities,United States,NMS,84454629376.0,^NDX,0.21
"Copart, Inc.",CPRT,CPRT,Industrials,United States,NMS,27733649408.0,^NDX,0.07
"CoreWeave, Inc.",CRWV,CRWV,Technology,United States,NMS,46747197440.0,^NDX,0.12
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,410071564288.0,^NDX,1.04
"CrowdStrike Holdings, Inc.",CRWD,CRWD,Technology,United States,NMS,786849660928.0,^NDX,1.99
CSX Corporation,CSX,CSX,Industrials,United States,NMS,89803857920.0,^NDX,0.23
"Datadog, Inc.",DDOG,DDOG,Technology,United States,NMS,94144356352.0,^NDX,0.24
"DexCom, Inc.",DXCM,DXCM,Healthcare,United States,NMS,26571214848.0,^NDX,0.07
"Diamondback Energy, Inc.",FANG,FANG,Energy,United States,NMS,48374640640.0,^NDX,0.12
"DoorDash, Inc.",DASH,DASH,Consumer Cyclical,United States,NMS,82294194176.0,^NDX,0.21
Electronic Arts Inc.,EA,EA,Communication Services,United States,NMS,51516891136.0,^NDX,0.13
Exelon Corporation,EXC,EXC,Utilities,United States,NMS,47333605376.0,^NDX,0.12
Fastenal Company,FAST,FAST,Industrials,United States,NMS,54818676736.0,^NDX,0.14
Ferrovial N.V.,FER,FER,Industrials,Netherlands,NMS,48137060352.0,^NDX,0.12
"Fortinet, Inc.",FTNT,FTNT,Technology,United States,NMS,116476436480.0,^NDX,0.29
GE HealthCare Technologies Inc.,GEHC,GEHC,Healthcare,United States,NMS,29504280576.0,^NDX,0.07
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,156400566272.0,^NDX,0.4
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,70256287744.0,^NDX,0.18
"IDEXX Laboratories, Inc.",IDXX,IDXX,Healthcare,United States,NMS,42405924864.0,^NDX,0.11
Intel Corporation,INTC,INTC,Technology,United States,NMS,638402494464.0,^NDX,1.61
Intuit Inc.,INTU,INTU,Technology,United States,NMS,73056256000.0,^NDX,0.18
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,142508048384.0,^NDX,0.36
Keurig Dr Pepper Inc.,KDP,KDP,Consumer Defensive,United States,NMS,45401870336.0,^NDX,0.11
KLA Corporation,KLAC,KLAC,Technology,United States,NMS,347717402624.0,^NDX,0.88
The Kraft Heinz Company,KHC,KHC,Consumer Defensive,United States,NMS,29656299520.0,^NDX,0.07
Lam Research Corporation,LRCX,LRCX,Technology,United States,NMS,489298427904.0,^NDX,1.24
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,246685401088.0,^NDX,0.62
Lumentum Holdings Inc.,LITE,LITE,Technology,United States,NMS,62330245120.0,^NDX,0.16
Marriott International,MAR,MAR,Consumer Cyclical,United States,NMS,97121796096.0,^NDX,0.25
"Marvell Technology, Inc.",MRVL,MRVL,Technology,United States,NMS,238194229248.0,^NDX,0.6
"MercadoLibre, Inc.",MELI,MELI,Consumer Cyclical,Uruguay,NMS,88324120576.0,^NDX,0.22
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1555824902144.0,^NDX,3.93
Microchip Technology Incorporat,MCHP,MCHP,Technology,United States,NMS,48077012992.0,^NDX,0.12
"Micron Technology, Inc.",MU,MU,Technology,United States,NMS,1165850050560.0,^NDX,2.95
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,2854599000064.0,^NDX,7.21
Strategy Inc,MSTR,MSTR,Technology,United States,NMS,33412001792.0,^NDX,0.08
"Mondelez International, Inc.",MDLZ,MDLZ,Consumer Defensive,United States,NMS,76184616960.0,^NDX,0.19
"Monolithic Power Systems, Inc.",MPWR,MPWR,Technology,United States,NMS,65427894272.0,^NDX,0.17
Monster Beverage Corporation,MNST,MNST,Consumer Defensive,United States,NMS,95209086976.0,^NDX,0.24
Nebius Group N.V.,NBIS,NBIS,Communication Services,Netherlands,NMS,58188386304.0,^NDX,0.15
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,312399167488.0,^NDX,0.79
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,4785584996352.0,^NDX,12.09
NXP Semiconductors N.V.,NXPI,NXPI,Technology,Netherlands,NMS,70484869120.0,^NDX,0.18
"O'Reilly Automotive, Inc.",ORLY,ORLY,Consumer Cyclical,United States,NMS,76813598720.0,^NDX,0.19
"Old Dominion Freight Line, Inc.",ODFL,ODFL,Industrials,United States,NMS,45328769024.0,^NDX,0.11
PACCAR Inc.,PCAR,PCAR,Industrials,United States,NMS,63806943232.0,^NDX,0.16
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,301414055936.0,^NDX,0.76
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,286912610304.0,^NDX,0.72
"Paychex, Inc.",PAYX,PAYX,Technology,United States,NMS,36523675648.0,^NDX,0.09
"PayPal Holdings, Inc.",PYPL,PYPL,Financial Services,United States,NMS,38874386432.0,^NDX,0.1
PDD Holdings Inc.,PDD,PDD,Consumer Cyclical,Ireland,NMS,117458673664.0,^NDX,0.3
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,192957382656.0,^NDX,0.49
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,191743672320.0,^NDX,0.48
"Regeneron Pharmaceuticals, Inc.",REGN,REGN,Healthcare,United States,NMS,65495035904.0,^NDX,0.17
Rocket Lab Corporation,RKLB,RKLB,Industrials,United States,NMS,62525612032.0,^NDX,0.16
"Roper Technologies, Inc.",ROP,ROP,Technology,United States,NMS,35793367040.0,^NDX,0.09
"Ross Stores, Inc.",ROST,ROST,Consumer Cyclical,United States,NMS,67973509120.0,^NDX,0.17
Sandisk Corporation,SNDK,SNDK,Technology,United States,NMS,300950978560.0,^NDX,0.76
Seagate Technology Holdings PLC,STX,STX,Technology,Singapore,NMS,205212139520.0,^NDX,0.52
Shopify Inc.,SHOP,SHOP,Technology,Canada,NMS,157833740288.0,^NDX,0.4
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,117833580544.0,^NDX,0.3
"Synopsys, Inc.",SNPS,SNPS,Technology,United States,NMS,87033102336.0,^NDX,0.22
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,187286339584.0,^NDX,0.47
"Take-Two Interactive Software, ",TTWO,TTWO,Communication Services,United States,NMS,46476079104.0,^NDX,0.12
"Teradyne, Inc.",TER,TER,Technology,United States,NMS,66896728064.0,^NDX,0.17
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,1597309321216.0,^NDX,4.04
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,271580790784.0,^NDX,0.69
Thomson Reuters Corp,TRI,TRI,Industrials,Canada,NMS,37066514432.0,^NDX,0.09
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,126397644800.0,^NDX,0.32
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NMS,865998143488.0,^NDX,2.19
"Warner Bros. Discovery, Inc. - ",WBD,WBD,Communication Services,United States,NMS,67216334848.0,^NDX,0.17
Western Digital Corporation,WDC,WDC,Technology,United States,NMS,206247460864.0,^NDX,0.52
"Workday, Inc.",WDAY,WDAY,Technology,United States,NMS,32173236224.0,^NDX,0.08
Xcel Energy Inc.,XEL,XEL,Utilities,United States,NMS,49754284032.0,^NDX,0.13
3I GROUP PLC ORD 73 19/22P,III.L,III,Financial Services,United Kingdom,LSE,25415854080.0,^FTSE,0.93
ABERDEEN GROUP PLC ORD 13 61/63,ABDN.L,ABDN,Financial Services,United Kingdom,LSE,4430606336.0,^FTSE,0.16
ADMIRAL GROUP PLC ORD 0.1P,ADM.L,ADM,Financial Services,United Kingdom,LSE,10838187008.0,^FTSE,0.4
AIRTEL AFRICA PLC ORD USD0.50,AAF.L,AAF,Communication Services,United Kingdom,LSE,12090624000.0,^FTSE,0.44
ALLIANCE WITAN PLC ORD 2.5P,ALW.L,ALW,Non disponible,Non disponible,LSE,5013831168.0,^FTSE,0.18
ANGLO AMERICAN PLC ORD USD0.623,AAL.L,AAL,Basic Materials,United Kingdom,LSE,39495045120.0,^FTSE,1.45
ANTOFAGASTA PLC ORD 5P,ANTO.L,ANTO,Basic Materials,United Kingdom,LSE,36900618240.0,^FTSE,1.36
ASSOCIATED BRITISH FOODS PLC OR,ABF.L,ABF,Consumer Defensive,United Kingdom,LSE,13489147904.0,^FTSE,0.5
ASTRAZENECA PLC ORD SHS $0.25,AZN.L,AZN,Healthcare,United Kingdom,LSE,218206322688.0,^FTSE,8.02
AUTOTRADER GROUP PLC ORD 1P,AUTO.L,AUTO,Communication Services,United Kingdom,LSE,4017969664.0,^FTSE,0.15
AVIVA PLC ORD 32 17/19P,AV.L,AV,Financial Services,United Kingdom,LSE,19834064896.0,^FTSE,0.73
BABCOCK INTERNATIONAL GROUP PLC,BAB.L,BAB,Industrials,United Kingdom,LSE,5020623360.0,^FTSE,0.18
BAE SYSTEMS PLC ORD 2.5P,BA.L,BA,Industrials,United Kingdom,LSE,56753233920.0,^FTSE,2.09
BARCLAYS PLC ORD 25P,BARC.L,BARC,Financial Services,United Kingdom,LSE,69833711616.0,^FTSE,2.57
BARRATT REDROW PLC ORD 10P,BTRW.L,BTRW,Consumer Cyclical,United Kingdom,LSE,3875245312.0,^FTSE,0.14
BEAZLEY PLC ORD 5P,BEZ.L,BEZ,Financial Services,United Kingdom,LSE,7612696576.0,^FTSE,0.28
BP PLC $0.25,BP.L,BP,Energy,United Kingdom,LSE,71172186112.0,^FTSE,2.62
BRITISH AMERICAN TOBACCO PLC OR,BATS.L,BATS,Consumer Defensive,United Kingdom,LSE,99516686336.0,^FTSE,3.66
BRITISH LAND COMPANY PLC ORD 25,BLND.L,BLND,Real Estate,United Kingdom,LSE,4232949504.0,^FTSE,0.16
BT GROUP PLC ORD 5P,BT-A.L,BT-A,Communication Services,United Kingdom,LSE,18484998144.0,^FTSE,0.68
BUNZL PLC ORD 32 1/7P,BNZL.L,BNZL,Consumer Defensive,United Kingdom,LSE,8546961920.0,^FTSE,0.31
BURBERRY GROUP PLC ORD 0.05P,BRBY.L,BRBY,Consumer Cyclical,United Kingdom,LSE,3824563200.0,^FTSE,0.14
CENTRICA PLC ORD 6 14/81P,CNA.L,CNA,Utilities,United Kingdom,LSE,7674151424.0,^FTSE,0.28
COCA-COLA EUROPACIFIC PARTNERS ,CCEP.L,CCEP,Consumer Defensive,United Kingdom,LSE,35554996224.0,^FTSE,1.31
COCA-COLA HBC AG ORD CHF6.70 (C,CCH.L,CCH,Consumer Defensive,Switzerland,LSE,18458451968.0,^FTSE,0.68
COMPASS GROUP PLC ORD 11 1/20P,CPG.L,CPG,Consumer Cyclical,United Kingdom,LSE,56042323968.0,^FTSE,2.06
COMPUTACENTER PLC ORD 7 5/9P,CCC.L,CCC,Technology,United Kingdom,LSE,4552671232.0,^FTSE,0.17
CONVATEC GROUP PLC ORD 10P,CTEC.L,CTEC,Healthcare,United Kingdom,LSE,4291982080.0,^FTSE,0.16
CRODA INTERNATIONAL PLC ORD 10.,CRDA.L,CRDA,Basic Materials,United Kingdom,LSE,4172262912.0,^FTSE,0.15
DCC PLC ORD EUR0.25 (CDI),DCC.L,DCC,Energy,Ireland,LSE,5287754240.0,^FTSE,0.19
DIAGEO PLC ORD 28 101/108P,DGE.L,DGE,Consumer Defensive,United Kingdom,LSE,33465178112.0,^FTSE,1.23
DIPLOMA PLC ORD 5P,DPLM.L,DPLM,Industrials,United Kingdom,LSE,9574371328.0,^FTSE,0.35
ENDEAVOUR MINING PLC ORD USD0.0,EDV.L,EDV,Basic Materials,United Kingdom,LSE,9290402816.0,^FTSE,0.34
ENTAIN PLC ORD EUR0.01,ENT.L,ENT,Consumer Cyclical,Isle of Man,LSE,3500297728.0,^FTSE,0.13
EXPERIAN PLC ORD USD0.10,EXPN.L,EXPN,Industrials,Ireland,LSE,22868574208.0,^FTSE,0.84
F&C INVESTMENT TRUST PLC ORD 6.,FCIT.L,FCIT,Non disponible,Non disponible,LSE,6506621952.0,^FTSE,0.24
FRESNILLO PLC ORD USD0.50,FRES.L,FRES,Basic Materials,Mexico,LSE,20426688512.0,^FTSE,0.75
GAMES WORKSHOP GROUP PLC ORD 5P,GAW.L,GAW,Consumer Cyclical,United Kingdom,LSE,7131033088.0,^FTSE,0.26
GLENCORE PLC ORD USD0.01,GLEN.L,GLEN,Basic Materials,Switzerland,LSE,59291652096.0,^FTSE,2.18
GSK PLC ORD 31 1/4P,GSK.L,GSK,Healthcare,United Kingdom,LSE,78289362944.0,^FTSE,2.88
HALEON PLC ORD GBP0.01,HLN.L,HLN,Healthcare,United Kingdom,LSE,31466194944.0,^FTSE,1.16
HALMA PLC ORD 10P,HLMA.L,HLMA,Industrials,United Kingdom,LSE,15054256128.0,^FTSE,0.55
HISCOX LTD ORD 6.5P (DI),HSX.L,HSX,Financial Services,Bermuda,LSE,5890970112.0,^FTSE,0.22
HOWDEN JOINERY GROUP PLC ORD 10,HWDN.L,HWDN,Consumer Cyclical,United Kingdom,LSE,4505638400.0,^FTSE,0.17
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA.L,HSBA,Financial Services,United Kingdom,LSE,245973909504.0,^FTSE,9.05
ICG PLC ORD 26 1/4P,ICG.L,ICG,Financial Services,United Kingdom,LSE,4961424896.0,^FTSE,0.18
IG GROUP HOLDINGS PLC ORD 0.005,IGG.L,IGG,Financial Services,United Kingdom,LSE,6071649792.0,^FTSE,0.22
INTERCONTINENTAL HOTELS GROUP P,IHG.L,IHG,Consumer Cyclical,United Kingdom,LSE,24867821568.0,^FTSE,0.91
IMI PLC ORD 28 4/7P,IMI.L,IMI,Industrials,United Kingdom,LSE,6906101760.0,^FTSE,0.25
IMPERIAL BRANDS PLC ORD 10P,IMB.L,IMB,Consumer Defensive,United Kingdom,LSE,21501298688.0,^FTSE,0.79
INFORMA PLC ORD 0.1P,INF.L,INF,Communication Services,United Kingdom,LSE,11447678976.0,^FTSE,0.42
INTERNATIONAL CONSOLIDATED AIRL,IAG.L,IAG,Industrials,United Kingdom,LSE,21038383104.0,^FTSE,0.77
INTERTEK GROUP PLC ORD 1P,ITRK.L,ITRK,Industrials,United Kingdom,LSE,8910454784.0,^FTSE,0.33
INVESTEC PLC ORD GBP0.0002,INVP.L,INVP,Financial Services,South Africa,LSE,3789553920.0,^FTSE,0.14
JD SPORTS FASHION PLC ORD 0.05P,JD.L,JD,Consumer Cyclical,United Kingdom,LSE,3985521664.0,^FTSE,0.15
LION FINANCE GROUP PLC ORD 1P,BGEO.L,BGEO,Financial Services,United Kingdom,LSE,4970287104.0,^FTSE,0.18
KINGFISHER PLC ORD 15 5/7P,KGF.L,KGF,Consumer Cyclical,United Kingdom,LSE,4656257536.0,^FTSE,0.17
LAND SECURITIES GROUP PLC ORD 1,LAND.L,LAND,Real Estate,United Kingdom,LSE,4831614976.0,^FTSE,0.18
LEGAL & GENERAL GROUP PLC ORD 2,LGEN.L,LGEN,Financial Services,United Kingdom,LSE,15842386944.0,^FTSE,0.58
LLOYDS BANKING GROUP PLC ORD 10,LLOY.L,LLOY,Financial Services,United Kingdom,LSE,65768243200.0,^FTSE,2.42
LONDONMETRIC PROPERTY PLC ORD 1,LMP.L,LMP,Real Estate,United Kingdom,LSE,4401140736.0,^FTSE,0.16
LONDON STOCK EXCHANGE GROUP PLC,LSEG.L,LSEG,Financial Services,United Kingdom,LSE,41095200768.0,^FTSE,1.51
M&G PLC,MNG.L,MNG,Financial Services,United Kingdom,LSE,8033198592.0,^FTSE,0.3
MARKS AND SPENCER GROUP PLC ORD,MKS.L,MKS,Consumer Cyclical,United Kingdom,LSE,7857717248.0,^FTSE,0.29
MELROSE INDUSTRIES PLC ORD GBP0,MRO.L,MRO,Industrials,United Kingdom,LSE,6038025728.0,^FTSE,0.22
METLEN ENERGY & METALS PLC ORD ,MTLN.L,MTLN,Utilities,Greece,LSE,6022988800.0,^FTSE,0.22
NATIONAL GRID PLC ORD 12 204/47,NG.L,NG,Utilities,United Kingdom,LSE,60604157952.0,^FTSE,2.23
NATWEST GROUP PLC ORD 107.69P,NWG.L,NWG,Financial Services,United Kingdom,LSE,53719375872.0,^FTSE,1.98
NEXT PLC ORD 10P,NXT.L,NXT,Consumer Cyclical,United Kingdom,LSE,16631952384.0,^FTSE,0.61
PEARSON PLC ORD 25P,PSON.L,PSON,Communication Services,United Kingdom,LSE,7412129280.0,^FTSE,0.27
PERSHING SQUARE HOLDINGS LTD OR,PSH.L,PSH,Financial Services,United States,LSE,6687370752.0,^FTSE,0.25
PERSIMMON PLC ORD 10P,PSN.L,PSN,Consumer Cyclical,United Kingdom,LSE,3356835840.0,^FTSE,0.12
POLAR CAPITAL TECHNOLOGY TRUST ,PCT.L,PCT,Non disponible,Non disponible,LSE,7678461440.0,^FTSE,0.28
PRUDENTIAL PLC ORD 5P,PRU.L,PRU,Financial Services,Hong Kong,LSE,25717309440.0,^FTSE,0.95
RECKITT BENCKISER GROUP PLC ORD,RKT.L,RKT,Consumer Defensive,United Kingdom,LSE,32082665472.0,^FTSE,1.18
RELX PLC ORD 14 51/116P,REL.L,REL,Industrials,United Kingdom,LSE,40536604672.0,^FTSE,1.49
RENTOKIL INITIAL PLC ORD 1P,RTO.L,RTO,Industrials,United Kingdom,LSE,11033711616.0,^FTSE,0.41
RIO TINTO PLC ORD 10P,RIO.L,RIO,Basic Materials,United Kingdom,LSE,113691287552.0,^FTSE,4.18
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR.L,RR,Industrials,United Kingdom,LSE,122098098176.0,^FTSE,4.49
THE SAGE GROUP PLC ORD 1 4/77P,SGE.L,SGE,Technology,United Kingdom,LSE,7471075328.0,^FTSE,0.27
SAINSBURY (J) PLC ORD 28 4/7P,SBRY.L,SBRY,Consumer Defensive,United Kingdom,LSE,7383622144.0,^FTSE,0.27
SCHRODERS PLC ORD 20P,SDR.L,SDR,Financial Services,United Kingdom,LSE,9153213440.0,^FTSE,0.34
SCOTTISH MORTGAGE INVESTMENT TR,SMT.L,SMT,Non disponible,Non disponible,LSE,16276909056.0,^FTSE,0.6
SEGRO PLC ORD 10P,SGRO.L,SGRO,Real Estate,United Kingdom,LSE,11922262016.0,^FTSE,0.44
SEVERN TRENT PLC ORD 97 17/19P,SVT.L,SVT,Utilities,United Kingdom,LSE,8859398144.0,^FTSE,0.33
SHELL PLC ORD EUR0.07,SHEL.L,SHEL,Energy,United Kingdom,LSE,160002834432.0,^FTSE,5.88
SMITHS GROUP PLC ORD 37.5P,SMIN.L,SMIN,Industrials,United Kingdom,LSE,7686044160.0,^FTSE,0.28
SMITH & NEPHEW PLC ORD USD0.20,SN.L,SN,Healthcare,United Kingdom,LSE,9253146624.0,^FTSE,0.34
SPIRAX GROUP PLC ORD 26 12/13P,SPX.L,SPX,Industrials,United Kingdom,LSE,4977531904.0,^FTSE,0.18
SSE PLC ORD 50P,SSE.L,SSE,Utilities,United Kingdom,LSE,28975169536.0,^FTSE,1.07
STANDARD CHARTERED PLC ORD USD0,STAN.L,STAN,Financial Services,United Kingdom,LSE,45057105920.0,^FTSE,1.66
STANDARD LIFE PLC ORD 10P,SDLF.L,SDLF,Financial Services,United Kingdom,LSE,8456712192.0,^FTSE,0.31
ST. JAMES'S PLACE PLC ORD 15P,STJ.L,STJ,Financial Services,United Kingdom,LSE,6332128256.0,^FTSE,0.23
TESCO PLC ORD 6 1/3P,TSCO.L,TSCO,Consumer Defensive,United Kingdom,LSE,29448187904.0,^FTSE,1.08
TRITAX BIG BOX REIT PLC ORD 1P,BBOX.L,BBOX,Non disponible,Non disponible,LSE,4386628096.0,^FTSE,0.16
UNILEVER PLC ORD 3.5P,ULVR.L,ULVR,Consumer Defensive,United Kingdom,LSE,98681331712.0,^FTSE,3.63
UNITED UTILITIES GROUP PLC ORD ,UU.L,UU,Utilities,United Kingdom,LSE,9768662016.0,^FTSE,0.36
VODAFONE GROUP PLC ORD USD0.20 ,VOD.L,VOD,Communication Services,United Kingdom,LSE,22801078272.0,^FTSE,0.84
WEIR GROUP PLC ORD 12.5P,WEIR.L,WEIR,Industrials,United Kingdom,LSE,6344918528.0,^FTSE,0.23
WHITBREAD PLC ORD 76 122/153P,WTB.L,WTB,Consumer Cyclical,United Kingdom,LSE,3971282944.0,^FTSE,0.15
ABN AMRO BANK N.V.,ABN.AS,ABN,Financial Services,Netherlands,AMS,30771972096.0,^AEX,1.97
ADYEN,ADYEN.AS,ADYEN,Technology,Netherlands,AMS,26676887552.0,^AEX,1.7
AEGON,AGN.AS,AGN,Financial Services,Netherlands,AMS,11446792192.0,^AEX,0.73
KONINKLIJKE AHOLD DELHAIZE N.V.,AD.AS,AD,Consumer Defensive,Netherlands,AMS,31722127360.0,^AEX,2.03
AKZO NOBEL,AKZA.AS,AKZA,Basic Materials,Netherlands,AMS,10288278528.0,^AEX,0.66
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,40747208704.0,^AEX,2.6
ASM International N.V.,ASM.AS,ASM,Technology,Netherlands,AMS,47008845824.0,^AEX,3.0
ASML HOLDING,ASML.AS,ASML,Technology,Netherlands,AMS,620753649664.0,^AEX,39.64
ASR NEDERLAND,ASRNL.AS,ASRNL,Financial Services,Netherlands,AMS,13748965376.0,^AEX,0.88
BE Semiconductor Industries N.V,BESI.AS,BESI,Technology,Netherlands,AMS,21754382336.0,^AEX,1.39
DSM FIRMENICH AG,DSFIR.AS,DSFIR,Basic Materials,Switzerland,AMS,20463749120.0,^AEX,1.31
EXOR,EXO.AS,EXO,Industrials,Netherlands,AMS,22382911488.0,^AEX,1.43
HEINEKEN,HEIA.AS,HEIA,Consumer Defensive,Netherlands,AMS,42124111872.0,^AEX,2.69
IMCD,IMCD.AS,IMCD,Basic Materials,Netherlands,AMS,4780478976.0,^AEX,0.31
